0,1,2,3,4,5,6,7,8,9,10
0.5968278833,0.267671823,0.0025455257,0.0097904836,0.0303504993,0.0579596632,0.0003916193,0,0.0344625024,0,0
0.5985901704,0.2653221069,0.0037203838,0.0080281966,0.032308596,0.0571764245,0,0,0.0348541218,0,0
0.5989817897,0.2643430585,0.0031329548,0.009594674,0.0315253574,0.0550225181,0.0001958097,0,0.0372038379,0,0
0.5980027413,0.266496965,0.0021539064,0.009594674,0.0297630703,0.0591345212,0,0,0.0348541218,0,0
0.5991775994,0.2647346779,0.0027413354,0.009007245,0.0293714509,0.060505189,0,0.0001958097,0.0342666928,0,0
0.5989817897,0.2641472489,0.0029371451,0.009594674,0.030546309,0.0567848052,0,0,0.0370080282,0,0
0.6009398864,0.2625807715,0.0033287644,0.0084198159,0.0313295477,0.0632465244,0,0.0001958097,0.02995888,0,0
0.5985901704,0.2659095359,0.0019580967,0.0086156256,0.0313295477,0.0687291952,0,0,0.0248678285,0,0
0.59878598,0.2631682005,0.0039161935,0.0092030546,0.0295672606,0.062854905,0.0001958097,0,0.032308596,0,0
0.5983943607,0.2645388682,0.0037203838,0.0086156256,0.0303504993,0.0608968083,0.0001958097,0.0001958097,0.0330918347,0,0
0.5991775994,0.2639514392,0.0033287644,0.0088114353,0.0303504993,0.0646171921,0,0.0001958097,0.0295672606,0,0
0.5995692187,0.2619933425,0.0037203838,0.0082240063,0.0303504993,0.0612884276,0.0003916193,0.0001958097,0.0342666928,0,0
0.5978069317,0.2641472489,0.0025455257,0.0084198159,0.0319169767,0.0630507147,0.0001958097,0,0.0319169767,0,0
0.5978069317,0.2619933425,0.0035245741,0.009007245,0.0315253574,0.0644213824,0.0001958097,0,0.0315253574,0,0
0.5999608381,0.2600352457,0.0029371451,0.0080281966,0.0309379283,0.0642255727,0.000587429,0,0.0332876444,0,0
0.5991775994,0.2602310554,0.0027413354,0.0078323869,0.031721167,0.0632465244,0.0001958097,0,0.0348541218,0,0
0.5985901704,0.2608184844,0.0027413354,0.0074407676,0.032308596,0.0630507147,0.0001958097,0,0.0348541218,0,0
0.5980027413,0.2590561974,0.0046994322,0.0076365772,0.031721167,0.0644213824,0.0003916193,0,0.0340708831,0,0
0.598198551,0.2572939103,0.0039161935,0.0093988643,0.0328960251,0.0652046211,0.000587429,0,0.0325044057,0,0
0.5968278833,0.2600352457,0.0025455257,0.0076365772,0.031721167,0.0697082436,0,0,0.0315253574,0,0
0.599373409,0.2572939103,0.0031329548,0.0072449579,0.0295672606,0.0650088114,0.0007832387,0,0.0375954572,0,0
0.5999608381,0.2545525749,0.0035245741,0.0086156256,0.0303504993,0.07186215,0.0001958097,0,0.0309379283,0,0
0.599373409,0.2570981006,0.0031329548,0.0072449579,0.0309379283,0.0657920501,0.0007832387,0,0.0356373605,0,0
0.5997650284,0.2559232426,0.0046994322,0.0070491482,0.0303504993,0.0652046211,0.0007832387,0,0.0362247895,0,0
0.6007440768,0.2557274329,0.0037203838,0.0076365772,0.0332876444,0.0673585275,0,0,0.0315253574,0,0
0.5997650284,0.2565106716,0.0037203838,0.0072449579,0.031721167,0.0677501469,0.0009790484,0,0.032308596,0,0
0.5995692187,0.2578813393,0.0025455257,0.0078323869,0.0289798316,0.0708831016,0.0003916193,0,0.0319169767,0,0
0.5991775994,0.2576855297,0.0039161935,0.0070491482,0.0307421187,0.0671627178,0.0003916193,0.0001958097,0.0336792638,0,0
0.6005482671,0.2543567652,0.0045036225,0.0086156256,0.0301546896,0.0677501469,0.0009790484,0,0.0330918347,0,0
